"country_name","country_code","population","gdp","trade","electricity_oil_pct","score","agriculture_pct","services_pct","industry_pct","reactors","LL","region","qual_score"
"Portugal","PRT",10578174,292323800948.839,4473609017.71331,2.52227636971637,61,2.13721069426312,66.2923756073157,18.7118937244236,0,0,2,2
"Romania","ROU",19061062,347757995758.914,-16939827223.2563,1.17105308544031,46,3.32416909916798,60.9101722747782,27.0872143657574,2,0,2,2
"Senegal","SEN",18077573,30696331295.7826,-7915370883.2456,84.6990389479009,43,17.4112512141863,49.5867335830147,22.888647826957,0,0,4,2
"Serbia","SRB",6623183,81343999280.0179,-3806168977.50843,0.049966272765883,36,3.78653396097272,57.7862970567227,23.7759430141513,0,1,2,2
"Singapore","SGP",5917648,505439514078.019,189183129359.779,0.373489184375702,83,0.0288498020075513,72.6907302698223,22.1459950271664,0,0,1,3
"Slovenia","SVN",2120461,69255264238.3855,4351480551.448,0.0377881345257589,56,1.53197014432848,57.8684736464045,29.5848784281182,1,0,2,2
"South Africa","ZAF",63212384,381440724491.232,3122509192.58848,3.53932902764392,41,2.53517112309848,62.7205686343674,24.5639655120651,2,0,4,2
"Spain","ESP",48352528,1619481980719.64,62205540662.9502,3.24891562893522,60,2.6062235563618,68.6891967410021,19.9575232630573,7,0,2,2
"Suriname","SUR",628886,3472693412.08497,329681738.25352,38.2823871906841,40,7.16164239184102,48.8318271145602,39.6663071788203,0,0,3,2
"Sweden","SWE",10536632,578990915246.07,17896382654.7774,0.117404104929166,82,1.28228230721285,65.4646684204795,22.5872661861018,6,0,2,3
"Switzerland","CHE",8888822,894424821645.205,99763808623.1311,0.040608037684259,82,0.624912461460987,72.163278047058,24.6708306418124,4,1,2,3
"Thailand","THA",71702435,515906283940.933,11333921624.5157,1.65419054806535,35,8.5627759867239,58.4568146846269,32.9804093286492,0,0,1,2
"Ukraine","UKR",37732836,181221517868.744,-3.7879e+10,0.134970724659722,36,7.55194546256383,61.211871946742,19.0867598647608,15,0,2,2
"United Kingdom","GBR",68492000,3420796653789.08,-40126943255.7849,0.621353002126847,71,0.648180849687737,72.4231913505155,17.6714033030008,9,0,2,3
